Source,Comments,topology,duration,N,c_ee,c_ei,c_ie,c_ii,P,Q,tau_1,tau_2,rho,beta,k,alpha,jitter
Defaults (page3),,,,,1,1,-1,-1,0.5,0.5,1,1.4,10,10,,0.6,0
fig2a,used,full,100,2,1,1,-1,-1,0.5,0.5,1,1.4,10,10,1,0.6,0
fig2a (fixed),used,full,100,2,1,-1,1,-1,0.5,0.5,1,1.4,10,10,1,0.6,0
fig2b,used,full,100,2,1,1,-1,-1,0.5,0.5,4,40,10,10,1,0.6,0
fig2b (fixed),used,full,100,2,1,-1,1,-1,0.5,0.5,4,40,10,10,1,0.6,0
fig2c,used,full,100,2,-6,2.5,2.5,-6,0.2,0.2,1,1.4,10,10,11,0.6,0
fig2c (fixed),used,full,100,2,-6,-2.5,2.5,-6,0.2,0.2,1,1.4,10,10,11,0.6,0
fig3e,,ring,140,16,1,1,-1,-1,0.5,0.5,1,1.4,10,10,1,0.6,0
"fig3 (similar shape,stable)",used,ring,140,16,3.78,-6.51,19.4,-9.38,-7.97,4.8,0.78,5.08,10,10,0.5,0.6,0.01
fig3 (destabilising),,ring,140,16,3.9,-9.77,15.89,-13.67,-4.38,5.05,0.23,1.9,10,10,0.1,2.74,0.01
"fig3 (destabilising, 2)",,ring,140,16,3.9,-6.77,22.4,-13.8,-4.38,4.84,0.47,4.5,10,10,0.52,1.751,0.01
fig3 (meh),,ring,140,16,1.04,-1.3,1.56,-4.69,-1.4,0.94,0.7,3.12,10,10,1.2,0.6,0.01
"fig3 (best, unstable)",used,ring,140,16,1.04,-1.37,1.67,-4.32,-1.43,1.07,0.74,3.15,22,10,1.17,0.6,0.01
"fig3 (best, stable)",,ring,140,16,1.04,-1.37,1.67,-4.32,-1.43,1.07,0.74,3.15,22,10,0.75,0.6,0.01
"fig3 (best, stable)",,ring,140,16,0.65,-1.82,1.56,-3.91,-1.72,0.94,0.74,3.12,22,10,1.38,0.44,0.01
topology differences,,ring,300,16,0.26,-2.34,2.86,-5.21,-1.88,1.56,0.76,3.12,21.09,10,1.6,0.6,0.01
topology differences,,ring,300,16,0.13,-3.91,1.43,-4.82,-1.43,1.07,0.83,3.15,21,10,1.17,0.6,0.01
topology differences,used,ring,400,16,1.04,-1.37,1.67,-4.32,-1.43,1.07,0.74,3.15,22,10,0.75,0.6,0.01
delay variations,used,ring,400,16,1.04,-1.37,1.67,-4.32,-1.43,1.07,0.74,3.15,22,10,0.75,0.6,0.01
